20676	P -3 1 m	Bi I3	BiI3(P3-1m)	The electron diffraction analysis of Bi I3 and the modern ideas on the structure of the layered lattices	Pinsker, Z.G.	Trudy Instituta Kristallografii, Akademiya Nauk SSSR (1952) 7,  p35-p48
22081	R -3 H	Cr Cl3	BiI3	X-ray diffraction and nuclear quadrupole resonance studies of chromium trichloride	Morosin, B.;  Narath, A.	Journal of Chemical Physics (1964) 40,  p1958-p1967
23003	R -3 H	As I3	BiI3	Refinement of the Structure of Arsenic Triiodide	Enjalbert, R.;  Galy, J.	Acta Crystallographica B (24,1968-38,1982) (1980) 36,  p914-p916
26082	R -3 H	Sb I3	BiI3	The Crystal Structure of SbI3 and BiI3	Trotter, J.;  Zobel, T.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1966) 123,  p67-p72
26083	R -3 H	Bi I3	BiI3	The Crystal Structure of Sb I3 and Bi I3	Trotter, J.;  Zobel, T.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1966) 123,  p67-p72
26095	R -3 H	As I3	BiI3	The crystal structure of arsenic triiodide, AsI3	Trotter, J.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1965) 121,  p81-p86
29035	P -3 1 m	Ti Cl3	BiI3(P3-1m)	Il calcolo dell&#39;intensita di diffrazione dei raggi X da parte di strutture denotanti disordine monodimensionale. III- Studio strutturale di due diverse modificazioni cristalline del Ti Cl3 che presentano disordine monodimensionale	Allegra, G.	Nuovo Cimento (1962) 23,  p502-p515
27500	R -3 H	Fe Cl3	BiI3	Neutron-diffraction study of antiferromagnetic Fe Cl3	Cable, J.W.;  Wilkinson, M.K.;  Wollan, E.O.;  Koehler, W.C.	Physical Review (1,1893-132,1963/141,1966-188,1969) (1962) 127,  p714-p717
24651	P 3 1 2	Fe2 N	BiI3(P3-1m)	The iron - nitrogen system. The crystal structures of epsilon-phase iron nitrides	Jack, K.H.	Acta Crystallographica (1,1948-23,1967) (1952) 5,  p404-p411
36182	R -3 H	Bi I3	BiI3	Die Kristallstruktur der Trijodide von Arsen, Antimon und Wismut	Braekken, H.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1930) 75,  p574-p575
38235	R -3 H	Sc Cl3	BiI3	Die Kristallstrukturen von Sc Cl3, Ti Cl3 und V Cl3	Klemm, W.;  Krose, E.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1947) 253,  p218-p225
38237	R -3 H	V Cl3	BiI3	Die Kristallstrukturen von Sc Cl3, Ti Cl3 und V Cl3	Klemm, W.;  Krose, E.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1947) 253,  p218-p225
39242	R -3 H	Ti Br3	BiI3	Synthesis and crystal structures of TiBr4, TiBr3 and Ti(AlBr4)2	Troyanov, S.I.;  Rybakov, V.B.;  Ionov, V.M.	Zhurnal Neorganicheskoi Khimii (1990) 35,  p882-p887
39764	R -3 H	Fe Cl3	BiI3	Crystal structure of FeCl3 polytyped modifications	Troyanov, S.I.	Zhurnal Neorganicheskoi Khimii (1993) 38,  p1946-p1949
39426	R -3 H	Ti Cl3	BiI3	X-ray diffraction study of phase transition in alfa-TiCl3	Troyanov, S.I.;  Snigireva, E.M.;  Rybakov, V.B.	Zhurnal Neorganicheskoi Khimii (1991) 36,  p1117-p1122
63329	R -3 H	Fe Cl3	BiI3	Structure refinement of an Fe Cl3 crystal using a thin plate sample	Hashimoto, S.;  Forster, K.;  Moss, S.C.	Journal of Applied Crystallography (1989) 22, (2) p173-p180
74517	R -3 H	Sc Cl3	BiI3	Crystal structure of Sc Cl3 refined from powder neutron diffraction data	Fjellvag, H.;  Karen, P.	Acta Chemica Scandinavica (43,1989-) (1994) 48,  p294-p297
43444	R -3 H	Ti Cl3	BiI3	Il calcolo dell&#39;intensita di diffrazione dei raggi X da parte di strutture denotanti disordine monodimensionale. IIIStudio strutturale di due diverse modificazioni cristalline del Ti Cl3 che presentano disordine monodimensionale	Allegra, G.	Nuovo Cimento (1962) 23,  p502-p515
76421	R -3 H	Fe Br3	BiI3	The crystal structure of ferric bromide	Gregory, N.W.	Journal of the American Chemical Society (1951) 73,  p472-p472
56567	R -3 H	As I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56568	R -3 H	As I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56569	R -3 H	Sb I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56570	R -3 H	Bi I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56571	R -3 H	As I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56572	R -3 H	Sb I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
56573	R -3 H	Bi I3	BiI3	Compression mechanics in quasimolecular X I3 (X= As, Sb, Bi) solids	Hsueh, H.C.;  Chen, R.K.;  Vass, H.;  Clark, S.J.;  Ackland, G.J.;  Poon, W.C.K.;  Crain, J.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (1998) 58,  p14812-p14822
53634	R -3 H	Bi I3	BiI3	Review of X-ray powder diffraction data on rhombohedral bismuth triiodide	Keller, L.;  Nason, D.	Powder Diffraction (1996) 11,  p91-p95
38236	R -3 H	Ti Cl3	BiI3	Die Kristallstrukturen von Sc Cl3, Ti Cl3 und V Cl3	Klemm, W.;  Krose, E.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1947) 253,  p218-p225
78791	R -3 H	Bi I3	BiI3	Darstellung und Kristallstruktur von fehlordnungsfreiem Bismuttriiodid	Ruck, M.	Zeitschrift fuer Kristallographie (1979-2010) (1995) 210,  p650-p655
86495	R -3 H	As I3	BiI3	Refinement of the crystal structure of arsenic(III) iodide As I3	Kanishcheva, A.S.;  Mikhailov, Yu.N.;  Chernov, A.P.	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1980) 16, (10) p1885-p1886
410924	R -3 H	Fe Br3	BiI3	Ueber Eisentribromid: Untersuchungen von Gleichgewichten, Kristallstruktur und spektroskopische Charakterisierung	Armbruster, M.;  Ludwig, T.;  Rotter, H.W.;  Thiele, G.;  Oppermann, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2000) 626, (1) p187-p195
170773	R -3 H	Y I3	BiI3	Yttrium triiodide, Y I3	Jongen, L.;  Meyer, G.	Acta Crystallographica, Section E. Structure Reports Online (2005) 61,  pi51-pi52
108823	P 3 1 2	(Li0.6 Co0.3 Ti0.6)2 F6	BiI3(P3-1m)	High-pressure synthesis of Li Ti M F6(M= Mn, Fe, Co, Ni) with trirutile, Na2 Si F6, and Pb Sb2 O6 structures	Sekino, T.;  Endo, T.;  Sato, T.;  Shimada, M.	Journal of Solid State Chemistry (1990) 88,  p505-p512
55878	R -3 H	Cm I3	BiI3	Crystal structures of curium compounds: an ab initio study	Milman, V.;  Winkler, B.;  Pickard, C.J.	Journal of Nuclear Materials (2003) 322,  p165-p179
151400	R -3 R	Fe Cl3	BiI3	The crystal structure of ferric chloride	Wooster, N.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1932) 83,  p35-p41
187304	P -3 1 m	Bi I3	BiI3(P3-1m)	The structural, elastic and electronic properties of Bi I3: First - principles calculations	Sun, Xiao-Xiao;  Li, Yan-Ling;  Zhong, Guo-Hua;  Lue, Hua-Ping;  Zeng, Zhi	Physica B, Condensed Matter (2012) 407, (4) p735-p739
187305	R -3 H	Bi I3	BiI3	The structural, elastic and electronic properties of Bi I3: First - principles calculations	Sun, Xiao-Xiao;  Li, Yan-Ling;  Zhong, Guo-Hua;  Lue, Hua-Ping;  Zeng, Zhi	Physica B, Condensed Matter (2012) 407, (4) p735-p739
187605	R -3 H	Bi I3	BiI3	Structural transitions of Bi I3 under pressure	Sun, Xiao-Xiao;  Ren, Zhi-Ru;  Wang, Dao-Guang	Modern Physics Letters B (2012) 26, (32) p1250217-1-p1250217-8
187606	R -3 H	Bi I3	BiI3	Structural transitions of Bi I3 under pressure	Sun, Xiao-Xiao;  Ren, Zhi-Ru;  Wang, Dao-Guang	Modern Physics Letters B (2012) 26, (32) p1250217-1-p1250217-8
